pl_orbper,pl_orbsmax,pl_eqt,st_logg,st_mass,pl_insol,pl_rade,st_age,st_rad,st_met,st_teff,ra,dec,disposition,source
41.688644,0.0819,870.5,4.38,0.963861,133.2115,2.35545351,4.765000000000001,0.956122,-0.06,5703.0,53.6511231,20.5990205,CONFIRMED,K2
41.6855,0.241,546.0,4.5,0.961,133.2115,2.23,3.34,0.928,-0.15,5766.0,53.6511231,20.5990205,CONFIRMED,K2
41.6855,0.0819,870.5,4.5,1.67,133.2115,2.57807,4.765000000000001,1.08,-0.15,5766.0,53.6511231,20.5990205,CONFIRMED,K2
2.30183,0.0819,1054.0,4.53679,0.73,133.2115,1.12,4.765000000000001,0.762602,-0.03,4616.52,183.8462454,-6.2683289,CANDIDATE,K2
2.302368,0.0819,870.5,4.5,0.959,133.2115,1.31258765,4.765000000000001,0.710995,-0.06,4720.0,183.8462454,-6.2683289,CANDIDATE,K2
1.1947488,0.0819,870.5,4.447,0.959,133.2115,4.19,4.765000000000001,0.57,-0.08,3919.0,175.9385954,-5.8733592,CANDIDATE,K2
6.178369,0.0819,870.5,4.67,0.959,133.2115,9.91257877,4.765000000000001,0.789478,0.24,5015.0,181.3718091,-5.8482738,CANDIDATE,K2
6.17887,0.0819,772.0,4.45833,0.756,133.2115,8.84,4.765000000000001,0.849432,0.213,4719.28,181.3718091,-5.8482738,CANDIDATE,K2
1.17589,0.0819,870.5,4.447,0.959,133.2115,0.86,4.765000000000001,0.309,-0.08,5662.0,173.902664,-5.364612,CANDIDATE,K2
10.6966,0.0819,870.5,4.447,0.959,133.2115,1.45,4.765000000000001,0.588,-0.08,5662.0,173.0432884,-5.2471672,CANDIDATE,K2
1.5374115,0.0819,870.5,4.447,0.959,133.2115,45.0,4.765000000000001,1.599,-0.08,5662.0,174.9978388,-5.0404536,CANDIDATE,K2
2.71189,0.0819,2336.0,3.54386,1.28,133.2115,4.34,4.765000000000001,3.16745,-0.08,6402.0,181.5936878,-4.9467043,CANDIDATE,K2
18.10549,0.0819,870.5,4.32,0.959,133.2115,2.09985108,4.765000000000001,1.224685,0.14,6213.0,181.1211419,-4.8991358,CANDIDATE,K2
6.7987,0.0349,870.5,4.999,0.287,133.2115,1.047,4.765000000000001,0.282,-0.048,3648.0,170.1408561,-4.8070039,CONFIRMED,K2
79.9999,0.0819,870.5,4.747,0.959,133.2115,10.2,4.765000000000001,0.508,-0.08,4542.0,169.1498727,-4.6564416,CANDIDATE,K2
8.3606759,0.0819,870.5,4.447,0.959,133.2115,30.0,4.765000000000001,0.707,-0.08,5662.0,169.1498727,-4.6564416,CANDIDATE,K2
17.77297,0.0819,830.0,4.26659,1.06,133.2115,26.44,4.765000000000001,1.25428,-0.08,5847.0,184.1697015,-4.5603949,CANDIDATE,K2
0.99656225,0.0819,870.5,4.447,0.959,133.2115,32.8,4.765000000000001,0.5,-0.08,3727.0,172.7104166,-4.5075924,CANDIDATE,K2
14.912381,0.0819,870.5,4.447,0.959,133.2115,3.55,4.765000000000001,0.65,-0.08,4224.0,177.0948891,-4.1644059,CANDIDATE,K2
14.9139,0.0819,870.5,4.447,0.959,133.2115,3.24,4.765000000000001,0.647,-0.08,5662.0,177.0948891,-4.1644059,CANDIDATE,K2
0.57303573,0.0819,870.5,4.447,0.959,133.2115,3.35,4.765000000000001,0.43,-0.08,3570.0,174.1207146,-3.4828286,CANDIDATE,K2
28.1656,0.0819,870.5,4.447,0.41,133.2115,1.87,4.765000000000001,0.966,-0.08,5662.0,179.7058532,-3.3894613,CONFIRMED,K2
28.1696,0.0819,870.5,4.447,0.959,133.2115,2.2,4.765000000000001,0.374,-0.08,5662.0,179.7058532,-3.3894613,CONFIRMED,K2
7.90417,0.0819,870.5,4.447,0.959,133.2115,2.06,4.765000000000001,0.374,-0.08,5662.0,179.7058532,-3.3894613,CANDIDATE,K2
7.9069606,0.0819,870.5,4.447,0.959,133.2115,3.02,4.765000000000001,0.52,-0.08,3772.0,179.7058532,-3.3894613,CANDIDATE,K2
1.0829614,0.0819,870.5,4.447,0.959,133.2115,1.56,4.765000000000001,0.56,-0.08,3875.0,173.2627978,-3.3887192,CANDIDATE,K2
0.905655,0.0819,870.5,4.447,0.959,133.2115,1.57,4.765000000000001,0.576,-0.08,5662.0,173.0528796,-3.370321,CANDIDATE,K2
0.90552205,0.0819,870.5,4.447,0.959,133.2115,1.52,4.765000000000001,0.5,-0.08,3710.0,173.0528796,-3.370321,CANDIDATE,K2
2.7541129,0.0819,870.5,4.447,0.959,133.2115,4.87,4.765000000000001,0.55,-0.08,3834.0,177.9464521,-3.2460183,CANDIDATE,K2
2.75421,0.0819,870.5,4.447,0.959,133.2115,8.4,4.765000000000001,0.89,-0.08,5662.0,177.9464521,-3.2460183,CANDIDATE,K2
2.75391,0.0819,870.5,4.846,0.959,133.2115,3.78,4.765000000000001,0.436,-0.08,3918.0,177.9464521,-3.2460183,CANDIDATE,K2
50.285869,0.0819,870.5,4.447,0.959,133.2115,3.47,4.765000000000001,0.74,-0.08,4859.0,178.1611264,-3.0949095,CANDIDATE,K2
