tid,pl_orbper,pl_rade,st_teff,tfopwg_disp,is_exoplanet
50365310,2.1713484,5.8181633,10249.0,FP,no
88863718,1.9316462,11.2154,7070.0,PC,no
124709665,1.8675574,23.7529,8924.0,FP,no
106997505,2.74323,,5388.5,FP,yes
238597883,3.5730141,11.3113,9219.0,FP,no
169904935,4.5505945,7.10841,5613.0,FP,yes
156115721,2.5047918,8.6950898,6616.0,FP,no
65212867,6.9989206,14.7752,6596.0,PC,no
440801822,2.0483755,3.19621,6858.5,FP,no
107782586,1.9600277,,8868.7,PC,no
231663901,1.4303699,13.1874503,5600.0,KP,yes
139853601,0.6808702,5.9115908,9438.0,FP,no
114018671,2.4704981,1.44656,5413.7,PC,yes
427508467,0.884182,24.8132,8928.0,APC,no
97700520,5.4255548,,8868.7,FP,no
96246348,1.4095184,,9307.0,FP,no
155044736,1.3730466,42.1479417,4897.0,FP,no
175310067,12.6889415,14.0608342,7601.0,FP,no
182943944,1.10422,21.0448,6995.2,FP,no
291555748,4.95912,22.9123,5889.0,FP,no
341420329,5.2341008,24.2931408,7645.0,PC,no
149603524,4.4119378,15.4706,6280.0,KP,no
140706664,3.28892,,8734.2,FP,no
143994283,1.90879,3.34688,6022.6,FP,no
47384844,3.09574,3.4262,6084.0,FA,yes
238374636,1.3214483,21.8839,5050.8,FP,no
141482386,18.0157,21.644,4709.0,FP,no
297967252,9.6837921,,8598.7,PC,no
388624270,14.2628757,2.4765813,5690.0,FP,yes
20318757,3.2834565,2.87648,4272.0,PC,no
20318757,11.02875,2.76586,4272.0,PC,yes
20318757,5.0113292,2.52314,4272.0,PC,yes
447283466,1.01606,1.20704,4634.0,FP,no
374908020,36.22214,,,FP,yes
336732616,3.547854,14.581841,6351.0,KP,yes
464296022,12.1246519,17.6729,4807.6,FP,no
304021498,5.652623,8.94354,6415.4,FP,yes
146589986,5.6643704,14.7738943,10395.0,PC,no
149601557,29.0160175,6.77406,6113.1,FP,yes
400595342,3.6404389,3.7025342,9810.0,FP,no
361413119,6.0744477,30.9493217,5964.0,PC,no
146172354,3.7795212,5.98375,5771.0,PC,yes
363260203,1.2025238,6.31106,9158.0,FP,no
90544017,3.2235985,5.51341,8904.0,FP,no
461867584,4.420125,,,APC,yes
231670397,4.0872956,13.6237732,6036.0,KP,yes
310483807,2.55555,11.5901,10037.0,FP,no
385624852,8.30792,43.1068,9081.0,FP,no
360286627,0.758082,10.1273702,9917.0,PC,no
90448944,1.4415577,3.61078,6902.0,FP,no
463402815,1.0085089,,5215.2,PC,no
54044474,3.7039994,17.57,7013.8,FP,yes
309787037,1.3042553,9.36472,6762.0,FP,no
370745311,0.62627,5.72162,5622.0,FP,no
384549882,0.30412,10.417,11892.0,FP,no
16288184,2.1805277,16.808853,6599.0,KP,yes
144065872,2.1846669,13.7028527,5630.0,KP,yes
66818296,3.7354838,21.2315,6650.0,KP,no
259863352,21.701669,2.3751494,5625.0,FA,yes
317060587,9.139804,3.0629855,5958.2,CP,yes
112395568,5.742625,13.088532,5664.0,FP,yes
366989877,15.5077855,2.43432,6122.0,CP,yes
320004517,17.4713078,3.5766828,5783.54,CP,yes
421894914,5.3079507,3.0486928,6124.3,PC,yes
323132914,51.1701501,2.9366826,5599.0,PC,yes
31553893,11.1296441,12.8402271,5785.0,PC,yes
380783252,9.4496506,17.0216,5509.0,PC,no
38846515,2.8493825,16.3869,6900.0,KP,yes
101230735,2.0685633,3.89739,5687.9,APC,yes
253990973,0.540933,2.28501,5525.0,FP,no
299799658,4.1150576,2.30057,5394.0,CP,yes
406976746,10.0665238,2.7272824,5552.0,PC,yes
79748331,6.4438657,2.460344,4803.0,CP,yes
79748331,12.2265595,2.6014766,4803.0,CP,yes
7088246,2.160344,22.503541,5780.0,KP,no
201604954,4.606184,12.962219,5670.0,KP,yes
201642601,3.1316735,9.4995191,4351.0,KP,yes
6663331,3.180362,13.446487,5498.0,KP,yes
31858843,2.9776446,14.4339,5703.0,KP,yes
92352620,3.9502008,20.5357,6153.0,KP,no
31858844,2.9776152,26.88423,5740.0,FP,no
120247528,3.5544026,13.200677,5639.0,KP,yes
140830390,12.8379689,25.4886382,5765.0,FP,no
158297421,3.9228016,13.3368705,4444.0,CP,yes
327301957,13.9428705,2.4233421,5206.0,PC,yes
351601843,0.6047392,1.8625587,4046.0,CP,no
360742636,2.5495611,12.9171288,5659.0,KP,yes
369960846,1.6062693,12.6436029,5192.0,PC,no
370133522,0.5182425,1.3485121,3325.0,CP,no
379240073,3.1644075,14.8814743,6519.0,PC,yes
289793076,3.0440541,12.1086799,5523.0,KP,yes
161032923,3.9652485,1.2305102,3296.0,PC,yes
253728991,2.98278,11.467011,6027.0,PC,no
261108236,16.3469053,3.5059571,4310.0,PC,yes
322270620,12.9802953,2.4241912,3614.0,PC,yes
380589029,1.3484961,15.8824638,6346.0,KP,no
381979901,3.2541181,14.9476,6102.0,APC,yes
468148930,3.7178828,14.6986197,5818.0,PC,yes
426077080,9.30992,14.2968,6907.0,FP,no
343648136,1.15395,5.48364,6093.0,FA,no
129319156,4.73703,25.7144,11600.0,FP,no
29344935,2.76676,12.2867389,5346.0,KP,yes
361034196,2.19296,22.7769,7009.8,FP,no
193413306,1.725841,15.0024,7348.0,PC,no
387079085,1.1923,30.666,6534.0,FP,no
382331352,11.47606,,,FP,yes
136274063,0.5971314,9.08382,7710.0,APC,no
375223080,1.4821386,13.7339261,7066.0,PC,no
375225453,0.9209526,5.7349089,6553.0,FP,no
360630575,9.188506,2.16591,5876.0,CP,yes
360630575,13.9028391,2.6136848,5876.0,CP,yes
383390264,10.1826983,3.0538057,6153.0,CP,yes
290348383,6.441006,2.56374,4867.0,CP,yes
281459670,3.1743504,14.9172256,5943.0,KP,yes
318608749,20.0731588,4.0506906,6033.0,FP,yes
271581073,2.66903,9.36823,5803.5,FP,no
311890977,6.63371,2.75375,4138.1,FP,yes
351603103,2.94308,45.3525,4437.0,PC,no
451599528,341.2811281,4.7531892,6058.6,FP,no
274151135,10.8680523,2.90726,4664.0,PC,yes
384513078,11.1149,14.7645,5042.0,PC,yes
394561119,4.0782392,13.898174,6501.0,CP,yes
295599256,7.14386,22.1531,7860.0,FP,no
50309953,7.04083,8.46404,5317.0,FP,no
355703913,2.1061569,13.086872,5380.0,KP,yes
446549905,2.4545635,11.1276,6610.0,FP,no
412014494,11.4756978,14.1098,7262.0,FP,no
369864738,2.78186,4.92567,6819.0,FP,no
290348382,6.4410082,4.59203,3469.0,FP,yes
409934330,2.4887726,,8048.0,APC,no
379286801,4.45199,15.8858,6708.3,APC,no
304100538,5.0100708,2.3107394,5551.0,PC,yes
295541511,2.2281625,2.56778,5731.0,PC,no
90919952,4.13812,,4898.4,FP,yes
261369656,10.95663,23.9726,6456.0,APC,no
388104525,2.4997996,13.8516093,5650.0,KP,yes
143257766,1.66226,13.3343,7301.0,FP,no
24094603,4.07611,,,FP,yes
304774444,3.6245513,4.3503,6317.0,FP,yes
469782185,1.20928,15.1764,5159.8,APC,no
128790976,3.5187707,14.0061,6690.0,APC,no
80166433,0.7724825,4.1624907,8271.0,PC,no
405862830,1.6268695,2.36498,5034.0,FP,yes
269450900,2.32439,,8268.5,FP,no
425721385,13.5499,6.24633,6209.0,FP,yes
91576611,4.43651,19.9664,7101.9,FP,no
97409519,3.372877,14.201803,6050.0,KP,yes
254113311,8.34998,11.1424,4236.0,CP,yes
254113311,4.0686405,3.7548333,4236.0,CP,yes
198213332,0.5860366,4.906408,5579.0,PC,no
267489265,1.5502952,3.34528,7851.0,FP,no
69997672,1.80709,4.86242,6244.0,FP,no
122220263,18.6922101,18.1458,6277.0,FP,no
154872375,8.0277326,9.06883,5962.7,CP,yes
142276270,12.5187279,5.58857,5729.0,CP,yes
142276270,6.2586065,2.51593,5729.0,CP,yes
142276270,26.3208756,2.71349,5729.0,CP,yes
142276270,18.795547,2.1597669,5729.0,CP,yes
89389197,1.3206356,34.7561624,4919.6,PC,no
110428269,0.64971,6.23181,9994.0,FP,no
202563254,4.4780798,11.3678,7947.0,PC,no
25155310,3.2887898,10.5135877,5800.0,KP,yes
320525204,13.7431084,12.05,5941.5,FP,yes
159510109,16.9487087,45.2204505,5894.7,FP,no
284450803,3.3686634,42.2321,7518.0,FP,no
160268701,11.2071839,17.4989,6152.0,FP,no
28230919,4.8878037,5.29152,4757.3,KP,yes
350995812,2.97164,,8562.5,FP,no
21755546,0.660179,6.1672487,8598.7,FP,no
288391628,10.9278415,49.1695,6259.0,FP,no
349827430,5.5514888,15.8043,6403.9,KP,no
117789567,2.3202418,,8737.5,APC,no
281541555,4.7423709,10.5505922,5377.0,KP,yes
16740101,1.4810903,20.3402421,9435.0,KP,no
69679391,3.4741012,21.2912,8894.8,KP,no
237184773,6.5011911,,5485.0,FA,yes
154840461,6.0360758,9.86763,6528.3,APC,yes
459970307,21.745537,2.10208,5704.0,PC,yes
161450762,1.32003,,,FP,no
117256577,1.6865822,,,FP,no
147576037,13.0727479,35.7944,5709.8,FP,no
379931600,2.9258727,24.4055,4884.5,FP,no
48188920,0.73774,5.28215,6449.5,FP,no
238176110,2.7985802,11.9514993,4920.0,KP,yes
89510024,2.3664127,,,FP,yes
158324245,1.7635881,,7986.1,KP,no
13419950,7.3166682,,8730.0,PC,no
375542276,3.0771612,,9311.3,PC,no
16102323,3.2077145,,,FP,yes
458478250,2.2552845,14.688,5787.0,KP,no
138361973,1.8824539,8.29008,5900.4,FP,no
232967666,15.196,4.96345,5807.0,FP,yes
41330864,2.1358631,23.6019,5969.0,FP,no
302518439,6.7075429,17.4647,6134.3,PC,no
322307342,3.5862962,16.4747611,5704.8,KP,yes
294176967,1.8296155,29.3616,7875.0,FP,no
101929303,11.1876137,31.8624,7266.0,FP,no
1717732429,7.8513949,,,FP,yes
232967440,7.0643978,9.39131,5429.6,CP,yes
154089169,8.9534775,2.35888,5029.5,CP,yes
30329585,7.5022708,5.55812,6229.0,FP,yes
230088370,14.0077666,12.4023108,6557.7,PC,no
169177766,1.692892,11.2371,9121.5,FP,no
359496368,2.6652007,2.35964,4043.4,FP,yes
148914726,1.2615323,8.67407,4927.9,APC,yes
266980320,6.0344667,4.44029,5586.0,CP,yes
158002130,9.6867516,3.00336,4738.1,CP,yes
229510866,2.1031647,16.7087,6122.0,CP,yes
341544930,7.6416041,27.538,6496.7,FP,no
258777137,5.9294088,10.8101,5095.6,FP,no
233087860,5.7484439,2.35215,4534.0,CP,yes
83210867,1.1967018,10.3239,5997.0,FP,no
289539327,11.2464616,17.6677,6115.7,FP,no
372757221,2.5941968,4.47229,6389.0,PC,no
15247229,8.5112,,8156.0,FP,no
112026224,3.9687994,,5286.9,PC,yes
278683844,5.5411114,2.04482,5332.0,PC,yes
